Order ID,Order Date,Ship Mode,Customer ID,Customer Name,City,State,Product ID,Category,Sales
2015-143336,27/08/2015,2nd C,ZD-21925,Zuschuss Donatelli,San Francisco,California,TEC-PH-11949,Technology,213.48
2015-143336,27/08/2015,2nd C,ZD-21925,Zuschuss Donatelli,San Francisco,California,OFF-BI-12215,Off.Supp.,22.72
2017-137330,09/12/2017,std,KB-16585,Ken Black,Fremont,Nebraska,OFF-AR-10246,Off.Supp.,19.46
2017-137330,09/12/2017,std,KB-16585,Ken Black,Fremont,Nebraska,OFF-AP-11492,Off.Supp.,60.34
2018-156909,16/07/2018,2nd C,SF-20065,Sandra Flanagan,Philadelphia,Pennsylvania,FUR-CH-12774,Furniture,71.372
2016-106320,25/09/2016,std,EB-13870,Emily Burns,Orem,Utah,FUR-TA-10577,Furniture,1044.63
2017-121755,16/01/2017,2nd C,EH-13945,Eric Hoffmann,Los Angeles,California,OFF-BI-11634,Off.Supp.,11.648
2017-121755,16/01/2017,2nd C,EH-13945,Eric Hoffmann,Los Angeles,California,TEC-AC-13027,Technology,90.57
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,FUR-BO-14834,Furniture,3083.43
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,OFF-BI-10474,Off.Supp.,9.618
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,FUR-FU-14848,Furniture,124.2
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,OFF-EN-11509,Off.Supp.,3.264
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,OFF-AR-14042,Off.Supp.,86.304
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,OFF-BI-11525,Off.Supp.,6.858
2016-150630,17/09/2016,std,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,OFF-AR-11683,Off.Supp.,15.76
2018-107727,19/10/2018,2nd C,MA-17560,Matt Abelman,Houston,Texas,OFF-PA-10249,Off.Supp.,29.472
2017-117590,08/12/2017,1st C,GH-14485,Gene Hale,Richardson,Texas,TEC-PH-14977,Technology,1097.544
2017-117590,08/12/2017,1st C,GH-14485,Gene Hale,Richardson,Texas,FUR-FU-13664,Furniture,190.92
2016-117415,27/12/2016,std,SN-20710,Steve Nguyen,Houston,Texas,OFF-EN-12986,Off.Supp.,113.328
2016-117415,27/12/2016,std,SN-20710,Steve Nguyen,Houston,Texas,FUR-BO-12545,Furniture,532.3992
2016-117415,27/12/2016,std,SN-20710,Steve Nguyen,Houston,Texas,FUR-CH-14218,Furniture,212.058
2016-117415,27/12/2016,std,SN-20710,Steve Nguyen,Houston,Texas,TEC-PH-10486,Technology,371.168
2018-120999,10/09/2018,std,LC-16930,Linda Cazamias,Naperville,Illinois,TEC-PH-14093,Technology,147.168
2017-101343,17/07/2017,std,RA-19885,Ruben Ausman,Los Angeles,California,OFF-ST-13479,Off.Supp.,77.88
2018-139619,19/09/2018,std,ES-14080,Erin Smith,Melbourne,Florida,OFF-ST-13282,Off.Supp.,95.616
2017-118255,11/03/2017,1st C,ON-18715,Odella Nelson,Eagan,Minnesota,TEC-AC-10171,Technology,45.98
2017-118255,11/03/2017,1st C,ON-18715,Odella Nelson,Eagan,Minnesota,OFF-BI-13291,Off.Supp.,17.46
2015-146703,20/10/2015,2nd C,PO-18865,Patrick O'Donnell,Westland,Michigan,OFF-ST-11713,Off.Supp.,211.96
2017-169194,20/06/2017,std,LH-16900,Lena Hernandez,Dover,Delaware,TEC-AC-12167,Technology,45
2017-169194,20/06/2017,std,LH-16900,Lena Hernandez,Dover,Delaware,TEC-PH-13988,Technology,21.8
2016-115742,18/04/2016,std,DP-13000,Darren Powers,New Albany,Indiana,OFF-BI-14410,Off.Supp.,38.22
2016-115742,18/04/2016,std,DP-13000,Darren Powers,New Albany,Indiana,OFF-LA-12762,Off.Supp.,75.18
2016-115742,18/04/2016,std,DP-13000,Darren Powers,New Albany,Indiana,FUR-FU-11706,Furniture,6.16
2016-115742,18/04/2016,std,DP-13000,Darren Powers,New Albany,Indiana,FUR-CH-13061,Furniture,89.99
2017-105816,11/12/2017,std,JM-15265,Janet Molinari,New York City,New York,OFF-FA-10304,Off.Supp.,15.26
2017-105816,11/12/2017,std,JM-15265,Janet Molinari,New York City,New York,TEC-PH-12447,Technology,1029.95
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,OFF-ST-10604,Off.Supp.,208.56
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,OFF-PA-11569,Off.Supp.,32.4
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,FUR-CH-13968,Furniture,319.41
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,OFF-PA-10587,Off.Supp.,14.56
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,TEC-AC-12167,Technology,30
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,OFF-BI-11460,Off.Supp.,48.48
2017-111682,17/06/2017,1st C,TB-21055,Ted Butterfield,Troy,New York,OFF-AR-11868,Off.Supp.,1.68
2016-135545,24/11/2016,std,KM-16720,Kunst Miller,Los Angeles,California,TEC-AC-14633,Technology,13.98
2016-135545,24/11/2016,std,KM-16720,Kunst Miller,Los Angeles,California,OFF-BI-11078,Off.Supp.,25.824
2016-135545,24/11/2016,std,KM-16720,Kunst Miller,Los Angeles,California,OFF-PA-13892,Off.Supp.,146.73
2016-135545,24/11/2016,std,KM-16720,Kunst Miller,Los Angeles,California,FUR-FU-10397,Furniture,79.76
2016-164175,30/04/2016,std,PS-18970,Paul Stevenson,Chicago,Illinois,FUR-CH-11146,Furniture,213.115
2015-106376,05/12/2015,std,BS-11590,Brendan Sweed,Gilbert,Arizona,OFF-AR-12671,Off.Supp.,1113.024
2015-106376,05/12/2015,std,BS-11590,Brendan Sweed,Gilbert,Arizona,TEC-PH-12726,Technology,167.968
2017-119823,04/06/2017,1st C,KD-16270,Karen Daniels,Springfield,Virginia,OFF-PA-10482,Off.Supp.,75.88
2017-106075,18/09/2017,std,HM-14980,Henry MacAllister,New York City,New York,OFF-BI-14654,Off.Supp.,4.616
2018-114440,14/09/2018,2nd C,TB-21520,Tracy Blumstein,Jackson,Michigan,OFF-PA-14675,Off.Supp.,19.05
2016-134026,26/04/2016,std,JE-15745,Joel Eaton,Memphis,Tennessee,FUR-CH-10513,Furniture,831.936
2016-134026,26/04/2016,std,JE-15745,Joel Eaton,Memphis,Tennessee,FUR-FU-13708,Furniture,97.04
2016-134026,26/04/2016,std,JE-15745,Joel Eaton,Memphis,Tennessee,OFF-ST-14123,Off.Supp.,72.784
2018-118038,09/12/2018,1st C,KB-16600,Ken Brennan,Houston,Texas,OFF-BI-14182,Off.Supp.,1.248
2018-118038,09/12/2018,1st C,KB-16600,Ken Brennan,Houston,Texas,FUR-FU-10260,Furniture,9.708
2018-118038,09/12/2018,1st C,KB-16600,Ken Brennan,Houston,Texas,OFF-ST-10615,Off.Supp.,27.24
2015-147606,26/11/2015,2nd C,JE-15745,Joel Eaton,Houston,Texas,FUR-FU-13194,Furniture,19.3
2017-127208,12/06/2017,1st C,SC-20770,Stewart Carmichael,Decatur,Alabama,OFF-AP-12118,Off.Supp.,208.16
2017-127208,12/06/2017,1st C,SC-20770,Stewart Carmichael,Decatur,Alabama,OFF-BI-12309,Off.Supp.,16.74
2015-139451,12/10/2015,std,DN-13690,Duane Noonan,San Francisco,California,OFF-AR-12053,Off.Supp.,14.9
2015-139451,12/10/2015,std,DN-13690,Duane Noonan,San Francisco,California,OFF-ST-12370,Off.Supp.,21.39
2016-149734,03/09/2016,std,JC-16105,Julie Creighton,Durham,North Carolina,OFF-EN-10927,Off.Supp.,200.984
2018-119662,13/11/2018,1st C,CS-12400,Christopher Schild,Chicago,Illinois,OFF-ST-13656,Off.Supp.,230.376
2018-140088,28/05/2018,2nd C,PO-18865,Patrick O'Donnell,Columbia,South Carolina,FUR-CH-10863,Furniture,301.96
2018-155558,26/10/2018,std,PG-18895,Paul Gonzalez,Rochester,Minnesota,TEC-AC-11998,Technology,19.99
2018-155558,26/10/2018,std,PG-18895,Paul Gonzalez,Rochester,Minnesota,OFF-LA-10134,Off.Supp.,6.16
2017-159695,05/04/2017,2nd C,GM-14455,Gary Mitchum,Houston,Texas,OFF-ST-13442,Off.Supp.,158.368
2017-109806,17/09/2017,std,JS-15685,Jim Sink,Los Angeles,California,OFF-AR-14930,Off.Supp.,20.1
2017-109806,17/09/2017,std,JS-15685,Jim Sink,Los Angeles,California,TEC-PH-14093,Technology,73.584
2017-109806,17/09/2017,std,JS-15685,Jim Sink,Los Angeles,California,OFF-PA-10304,Off.Supp.,6.48
2016-149587,31/01/2016,2nd C,KB-16315,Karl Braun,Minneapolis,Minnesota,OFF-PA-13177,Off.Supp.,12.96
2016-149587,31/01/2016,2nd C,KB-16315,Karl Braun,Minneapolis,Minnesota,FUR-FU-13799,Furniture,53.34
2016-149587,31/01/2016,2nd C,KB-16315,Karl Braun,Minneapolis,Minnesota,OFF-BI-12852,Off.Supp.,32.96
2018-109484,06/11/2018,std,RB-19705,Roger Barcio,Portland,Oregon,OFF-BI-14738,Off.Supp.,5.682
2018-161018,09/11/2018,2nd C,PN-18775,Parhena Norris,New York City,New York,FUR-FU-10629,Furniture,96.53
2018-157833,17/06/2018,1st C,KD-16345,Katherine Ducich,San Francisco,California,OFF-BI-11721,Off.Supp.,51.312
2017-149223,06/09/2017,std,ER-13855,Elpida Rittenbach,Saint Paul,Minnesota,OFF-AP-10358,Off.Supp.,77.88
2017-158568,29/08/2017,std,RB-19465,Rick Bensley,Chicago,Illinois,OFF-PA-13256,Off.Supp.,64.624
2017-158568,29/08/2017,std,RB-19465,Rick Bensley,Chicago,Illinois,TEC-AC-11767,Technology,95.976
2017-158568,29/08/2017,std,RB-19465,Rick Bensley,Chicago,Illinois,OFF-BI-12609,Off.Supp.,1.788
2017-129903,01/12/2017,2nd C,GZ-14470,Gary Zandusky,Rochester,Minnesota,OFF-PA-14040,Off.Supp.,23.92
2016-156867,13/11/2016,std,LC-16870,Lena Cacioppo,Aurora,Colorado,TEC-AC-11552,Technology,238.896
2016-156867,13/11/2016,std,LC-16870,Lena Cacioppo,Aurora,Colorado,FUR-FU-14006,Furniture,102.36
2016-156867,13/11/2016,std,LC-16870,Lena Cacioppo,Aurora,Colorado,OFF-BI-12794,Off.Supp.,36.882
2018-119004,23/11/2018,std,JM-15250,Janet Martin,Charlotte,North Carolina,TEC-AC-13499,Technology,74.112
2018-119004,23/11/2018,std,JM-15250,Janet Martin,Charlotte,North Carolina,TEC-PH-12844,Technology,27.992
2018-119004,23/11/2018,std,JM-15250,Janet Martin,Charlotte,North Carolina,OFF-AR-10390,Off.Supp.,3.304
2016-129476,15/10/2016,std,PA-19060,Pete Armstrong,Orland Park,Illinois,TEC-AC-10844,Technology,339.96
2018-146780,25/12/2018,std,CV-12805,Cynthia Voltz,New York City,New York,FUR-FU-11934,Furniture,41.96
2017-128867,03/11/2017,std,CL-12565,Clay Ludtke,Urbandale,Iowa,OFF-AR-10380,Off.Supp.,75.96
2017-128867,03/11/2017,std,CL-12565,Clay Ludtke,Urbandale,Iowa,OFF-BI-13981,Off.Supp.,27.24
2015-115259,25/08/2015,2nd C,RC-19960,Ryan Crowe,Columbus,Ohio,OFF-FA-10621,Off.Supp.,40.096
2015-115259,25/08/2015,2nd C,RC-19960,Ryan Crowe,Columbus,Ohio,OFF-EN-12600,Off.Supp.,4.72
2015-115259,25/08/2015,2nd C,RC-19960,Ryan Crowe,Columbus,Ohio,OFF-PA-14965,Off.Supp.,23.976
2015-115259,25/08/2015,2nd C,RC-19960,Ryan Crowe,Columbus,Ohio,OFF-EN-12504,Off.Supp.,130.464
2016-110457,02/03/2016,std,DK-13090,Dave Kipp,Seattle,Washington,FUR-TA-11768,Furniture,787.53
2016-136476,05/04/2016,std,GG-14650,Greg Guthrie,Bristol,Tennessee,OFF-BI-13650,Off.Supp.,157.794
2017-103730,12/06/2017,1st C,SC-20725,Steven Cartwright,Wilmington,Delaware,FUR-FU-12157,Furniture,47.04
2017-103730,12/06/2017,1st C,SC-20725,Steven Cartwright,Wilmington,Delaware,OFF-BI-13910,Off.Supp.,30.84
2017-103730,12/06/2017,1st C,SC-20725,Steven Cartwright,Wilmington,Delaware,OFF-ST-10777,Off.Supp.,226.56
2017-103730,12/06/2017,1st C,SC-20725,Steven Cartwright,Wilmington,Delaware,OFF-EN-12500,Off.Supp.,115.02
2017-103730,12/06/2017,1st C,SC-20725,Steven Cartwright,Wilmington,Delaware,TEC-PH-13875,Technology,68.04
2015-152030,26/12/2015,2nd C,AD-10180,Alan Dominguez,Houston,Texas,FUR-CH-14063,Furniture,600.558
2015-134614,20/09/2015,std,PF-19165,Philip Fox,Bloomington,Illinois,FUR-TA-14534,Furniture,617.7
2018-107272,05/11/2018,std,TS-21610,Troy Staebel,Phoenix,Arizona,OFF-BI-13274,Off.Supp.,2.388
2018-107272,05/11/2018,std,TS-21610,Troy Staebel,Phoenix,Arizona,OFF-ST-12974,Off.Supp.,243.992
2017-125969,06/11/2017,2nd C,LS-16975,Lindsay Shagiari,Los Angeles,California,FUR-CH-11146,Furniture,81.424
2017-125969,06/11/2017,2nd C,LS-16975,Lindsay Shagiari,Los Angeles,California,FUR-FU-13773,Furniture,238.56
2018-164147,02/02/2018,1st C,DW-13585,Dorothy Wardle,Columbus,Ohio,TEC-PH-12293,Technology,59.97
2018-164147,02/02/2018,1st C,DW-13585,Dorothy Wardle,Columbus,Ohio,OFF-PA-12377,Off.Supp.,78.304
2018-164147,02/02/2018,1st C,DW-13585,Dorothy Wardle,Columbus,Ohio,OFF-FA-12780,Off.Supp.,21.456
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,OFF-PA-11804,Off.Supp.,20.04
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,OFF-PA-11736,Off.Supp.,35.44
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,OFF-AR-11149,Off.Supp.,11.52
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,OFF-FA-12988,Off.Supp.,4.02
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,OFF-BI-14781,Off.Supp.,76.176
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,OFF-SU-11218,Off.Supp.,65.88
2017-145583,13/10/2017,std,LC-16885,Lena Creighton,Roseville,California,FUR-FU-11706,Furniture,43.12
2017-110366,05/09/2017,2nd C,JD-15895,Jonathan Doherty,Philadelphia,Pennsylvania,FUR-FU-14848,Furniture,82.8
2018-106180,18/09/2018,std,SH-19975,Sally Hughsby,San Francisco,California,OFF-AR-10940,Off.Supp.,8.82
2018-106180,18/09/2018,std,SH-19975,Sally Hughsby,San Francisco,California,OFF-EN-14030,Off.Supp.,10.86
2018-106180,18/09/2018,std,SH-19975,Sally Hughsby,San Francisco,California,OFF-PA-14327,Off.Supp.,143.7
2018-155376,22/12/2018,std,SG-20080,Sandra Glassco,Independence,Missouri,OFF-AP-11058,Off.Supp.,839.43
2016-110744,07/09/2016,std,HA-14920,Helen Andreada,Pasadena,California,OFF-ST-13656,Off.Supp.,671.93
2015-110072,22/10/2015,std,MG-17680,Maureen Gastineau,Newark,Ohio,FUR-FU-10521,Furniture,93.888
2017-114489,05/12/2017,std,JE-16165,Justin Ellison,Franklin,Wisconsin,TEC-PH-10215,Technology,384.45
2017-114489,05/12/2017,std,JE-16165,Justin Ellison,Franklin,Wisconsin,TEC-PH-11448,Technology,149.97
2017-114489,05/12/2017,std,JE-16165,Justin Ellison,Franklin,Wisconsin,FUR-CH-10454,Furniture,1951.84
2017-114489,05/12/2017,std,JE-16165,Justin Ellison,Franklin,Wisconsin,OFF-BI-12735,Off.Supp.,171.55
2017-158834,13/03/2017,1st C,TW-21025,Tamara Willingham,Scottsdale,Arizona,OFF-AP-10326,Off.Supp.,157.92
2017-158834,13/03/2017,1st C,TW-21025,Tamara Willingham,Scottsdale,Arizona,TEC-PH-11254,Technology,203.184
2016-124919,31/05/2016,1st C,SP-20650,Stephanie Phelps,San Jose,California,OFF-PA-11950,Off.Supp.,58.38
2016-124919,31/05/2016,1st C,SP-20650,Stephanie Phelps,San Jose,California,OFF-PA-12254,Off.Supp.,105.52
2016-124919,31/05/2016,1st C,SP-20650,Stephanie Phelps,San Jose,California,OFF-ST-11590,Off.Supp.,80.88
2016-118948,28/05/2016,std,NK-18490,Neil Knudson,Seattle,Washington,OFF-AR-11547,Off.Supp.,6.63
2015-104269,01/03/2015,2nd C,DB-13060,Dave Brooks,Seattle,Washington,FUR-CH-14063,Furniture,457.568
2017-114104,20/11/2017,std,NP-18670,Nora Paige,Edmond,Oklahoma,OFF-LA-12475,Off.Supp.,14.62
2017-114104,20/11/2017,std,NP-18670,Nora Paige,Edmond,Oklahoma,TEC-PH-14536,Technology,944.93
2017-162733,11/05/2017,1st C,TT-21070,Ted Trevino,Los Angeles,California,OFF-PA-12751,Off.Supp.,5.98
2016-119697,28/12/2016,2nd C,EM-13960,Eric Murdock,Philadelphia,Pennsylvania,TEC-AC-13657,Technology,54.384
2017-154508,16/11/2017,std,RD-19900,Ruben Dartt,Carlsbad,New Mexico,OFF-EN-11990,Off.Supp.,28.4
2017-113817,07/11/2017,std,MJ-17740,Max Jones,Seattle,Washington,OFF-BI-14002,Off.Supp.,27.68
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,OFF-AR-14441,Off.Supp.,9.936
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,TEC-MA-10822,Technology,8159.952
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,OFF-ST-10991,Off.Supp.,275.928
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,FUR-CH-14287,Furniture,1740.06
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,OFF-AR-12656,Off.Supp.,32.064
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,OFF-AP-12518,Off.Supp.,177.98
2015-139892,08/09/2015,std,BM-11140,Becky Martin,San Antonio,Texas,TEC-PH-13931,Technology,143.976
2015-118962,05/08/2015,std,CS-12130,Chad Sievert,Los Angeles,California,OFF-PA-10659,Off.Supp.,20.94
2015-118962,05/08/2015,std,CS-12130,Chad Sievert,Los Angeles,California,OFF-PA-11144,Off.Supp.,110.96
2015-118962,05/08/2015,std,CS-12130,Chad Sievert,Los Angeles,California,FUR-CH-13817,Furniture,340.144
2015-100853,14/09/2015,std,JB-15400,Jennifer Braxton,Chicago,Illinois,OFF-AP-10891,Off.Supp.,52.448
2015-100853,14/09/2015,std,JB-15400,Jennifer Braxton,Chicago,Illinois,OFF-LA-13148,Off.Supp.,20.16
2018-152366,21/04/2018,2nd C,SJ-20500,Shirley Jackson,Houston,Texas,OFF-AP-12684,Off.Supp.,97.264
2016-101511,21/11/2016,2nd C,JE-15745,Joel Eaton,Newark,Ohio,FUR-CH-14698,Furniture,396.802
2016-101511,21/11/2016,2nd C,JE-15745,Joel Eaton,Newark,Ohio,OFF-SU-12189,Off.Supp.,15.88
2016-137225,15/12/2016,std,JK-15640,Jim Kriz,New York City,New York,OFF-AR-11940,Off.Supp.,3.28
2015-166191,05/12/2015,2nd C,DK-13150,David Kendrick,Decatur,Illinois,OFF-ST-13455,Off.Supp.,24.816
2015-158274,19/11/2015,2nd C,RM-19675,Robert Marley,Monroe,Louisiana,TEC-PH-13273,Technology,503.96
2015-158274,19/11/2015,2nd C,RM-19675,Robert Marley,Monroe,Louisiana,TEC-PH-14896,Technology,149.95
2015-158274,19/11/2015,2nd C,RM-19675,Robert Marley,Monroe,Louisiana,TEC-AC-12345,Technology,29
2017-105018,28/11/2017,std,SK-19990,Sally Knutson,Fairfield,Connecticut,OFF-BI-11890,Off.Supp.,7.16
2015-123260,26/08/2015,std,FM-14290,Frank Merwin,Los Angeles,California,TEC-AC-12323,Technology,176.8
2017-157000,16/07/2017,std,AM-10360,Alice McCarthy,Grand Prairie,Texas,OFF-ST-11328,Off.Supp.,37.224
2017-157000,16/07/2017,std,AM-10360,Alice McCarthy,Grand Prairie,Texas,OFF-PA-11950,Off.Supp.,20.016
2016-102281,12/10/2016,1st C,MP-17470,Mark Packer,New York City,New York,FUR-BO-12613,Furniture,899.136
2016-102281,12/10/2016,1st C,MP-17470,Mark Packer,New York City,New York,TEC-PH-11552,Technology,71.76
2016-102281,12/10/2016,1st C,MP-17470,Mark Packer,New York City,New York,OFF-PA-10061,Off.Supp.,51.84
2016-102281,12/10/2016,1st C,MP-17470,Mark Packer,New York City,New York,FUR-BO-12545,Furniture,626.352
2016-102281,12/10/2016,1st C,MP-17470,Mark Packer,New York City,New York,OFF-AR-13514,Off.Supp.,19.9
2016-131457,31/10/2016,std,MZ-17515,Mary Zewe,Redlands,California,OFF-EN-11509,Off.Supp.,14.28
2015-140004,21/03/2015,std,CB-12025,Cassandra Brandow,Hamilton,Ohio,OFF-AR-14685,Off.Supp.,7.408
2015-140004,21/03/2015,std,CB-12025,Cassandra Brandow,Hamilton,Ohio,OFF-AR-14027,Off.Supp.,6.048
2018-107720,06/11/2018,std,VM-21685,Valerie Mitchum,Westfield,New Jersey,OFF-ST-11414,Off.Supp.,46.26
2018-124303,06/07/2018,std,FH-14365,Fred Hopkins,Philadelphia,Pennsylvania,OFF-BI-10343,Off.Supp.,2.946
2018-124303,06/07/2018,std,FH-14365,Fred Hopkins,Philadelphia,Pennsylvania,OFF-PA-12749,Off.Supp.,16.056
2018-105074,24/06/2018,std,MB-17305,Maria Bertelson,Akron,Ohio,OFF-PA-12666,Off.Supp.,21.744
2015-133690,03/08/2015,1st C,BS-11755,Bruce Stewart,Denver,Colorado,FUR-TA-14289,Furniture,218.75
2015-133690,03/08/2015,1st C,BS-11755,Bruce Stewart,Denver,Colorado,OFF-AP-13622,Off.Supp.,2.6
2018-116701,17/12/2018,2nd C,LC-17140,Logan Currie,Dallas,Texas,OFF-AP-13217,Off.Supp.,66.284
2018-126382,03/06/2018,std,HK-14890,Heather Kirkland,Franklin,Tennessee,FUR-FU-12960,Furniture,35.168
2018-108329,09/12/2018,std,LE-16810,Laurel Elliston,Whittier,California,TEC-PH-11918,Technology,444.768
2018-135860,01/12/2018,std,JH-15985,Joseph Holt,Saginaw,Michigan,OFF-ST-10642,Off.Supp.,83.92
2018-135860,01/12/2018,std,JH-15985,Joseph Holt,Saginaw,Michigan,TEC-PH-11700,Technology,131.98
2018-135860,01/12/2018,std,JH-15985,Joseph Holt,Saginaw,Michigan,OFF-BI-13274,Off.Supp.,15.92
2018-135860,01/12/2018,std,JH-15985,Joseph Holt,Saginaw,Michigan,OFF-FA-10134,Off.Supp.,52.29
2018-135860,01/12/2018,std,JH-15985,Joseph Holt,Saginaw,Michigan,OFF-ST-11522,Off.Supp.,91.99
2016-101007,09/02/2016,2nd C,MS-17980,Michael Stewart,Dallas,Texas,TEC-AC-11266,Technology,20.8
2016-146262,02/01/2016,std,VW-21775,Victoria Wilson,Medina,Ohio,OFF-LA-14544,Off.Supp.,23.68
2016-146262,02/01/2016,std,VW-21775,Victoria Wilson,Medina,Ohio,FUR-BO-14695,Furniture,452.45
2016-146262,02/01/2016,std,VW-21775,Victoria Wilson,Medina,Ohio,TEC-PH-12844,Technology,62.982
2016-146262,02/01/2016,std,VW-21775,Victoria Wilson,Medina,Ohio,TEC-MA-10864,Technology,1188
2016-146262,02/01/2016,std,VW-21775,Victoria Wilson,Medina,Ohio,TEC-AC-10109,Technology,89.584
2017-130162,28/10/2017,std,JH-15910,Jonathan Howell,Los Angeles,California,OFF-ST-11328,Off.Supp.,93.06
2017-130162,28/10/2017,std,JH-15910,Jonathan Howell,Los Angeles,California,TEC-PH-12563,Technology,302.376
2016-169397,24/12/2016,1st C,JB-15925,Joni Blumstein,Dublin,Ohio,OFF-FA-10585,Off.Supp.,5.584
2016-169397,24/12/2016,1st C,JB-15925,Joni Blumstein,Dublin,Ohio,OFF-PA-14000,Off.Supp.,22.704
2016-169397,24/12/2016,1st C,JB-15925,Joni Blumstein,Dublin,Ohio,OFF-BI-12852,Off.Supp.,19.776
2016-169397,24/12/2016,1st C,JB-15925,Joni Blumstein,Dublin,Ohio,FUR-FU-10087,Furniture,72.704
2016-169397,24/12/2016,1st C,JB-15925,Joni Blumstein,Dublin,Ohio,TEC-MA-11148,Technology,479.988
2016-169397,24/12/2016,1st C,JB-15925,Joni Blumstein,Dublin,Ohio,OFF-AR-11958,Off.Supp.,27.168
2016-163055,09/08/2016,std,DS-13180,David Smith,Detroit,Michigan,OFF-AR-11026,Off.Supp.,2.2
2016-163055,09/08/2016,std,DS-13180,David Smith,Detroit,Michigan,FUR-TA-13748,Furniture,622.45
2016-163055,09/08/2016,std,DS-13180,David Smith,Detroit,Michigan,OFF-ST-12485,Off.Supp.,21.98
2016-145436,28/02/2016,std,VD-21670,Valerie Dominguez,Columbia,Tennessee,FUR-CH-14860,Furniture,161.568
